...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
13863,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,354379.9710370419,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,2657.849782777815,13863
13864,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,354379.9710370419,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,237434.5805948181,13864
13865,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,158215.6564834324,2020-10-01,1,Incoming Funds,Novo Nordisk Foundation,Novo Nordisk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,NA,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,289,32434.20957910364,13865
13866,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,158215.6564834324,2020-10-01,1,Incoming Funds,Novo Nordisk Foundation,Novo Nordisk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,NA,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72050,289,16612.6439307604,13866
13867,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,158215.6564834324,2020-10-01,1,Incoming Funds,Novo Nordisk Foundation,Novo Nordisk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,NA,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15220,289,42322.68810931816,13867
13868,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,158215.6564834324,2020-10-01,1,Incoming Funds,Novo Nordisk Foundation,Novo Nordisk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,NA,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,289,9492.939389005942,13868
13869,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,158215.6564834324,2020-10-01,1,Incoming Funds,Novo Nordisk Foundation,Novo Nordisk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,NA,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,289,57353.17547524424,13869
14010,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,289,44159.52795621098,14010
14011,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72050,289,22618.29480683977,14011
14012,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15220,289,57622.798674568,14012
